,time,power,smoothed_pwr
0,4.368810735400075e-07,7.667380910248513,7.667380910248513
1000,0.0100004370558259,69.8087610296576,13.881518922189422
2000,0.0200004372305784,69.11614353895035,19.404981383865515
3000,0.0300004374053308,73.93901413264987,24.858384658743947
4000,0.0400004375800833,71.35241569041,29.50778776191055
5000,0.0500004377548357,71.72036328413792,33.72904531413329
6000,0.0600004379295882,72.25229377242496,37.581370159962454
7000,0.0700004381043406,73.5945134099144,41.18268448495765
8000,0.080000438279093,70.64810704403844,44.129226740865725
9000,0.0900004384538455,71.26665269357581,46.84296933613673
10000,0.1000004386285979,74.89111021692118,49.64778342421518
11000,0.1100004388033504,68.48323758499944,51.531328840293604
12000,0.1200004389781028,64.57014588556498,52.83521054482074
13000,0.1300004391528553,68.0004230870009,54.35173179903875
14000,0.1400004393276077,66.56097834692174,55.57265645382705
15000,0.1500004395023602,63.79526144713932,56.39491695315827
16000,0.1600004396771126,62.377622446831325,56.99318750252558
17000,0.170000439851865,64.94976397591066,57.78884514986409
18000,0.1800004400266175,58.49627347886035,57.85958798276371
19000,0.1900004402013699,63.117246761672384,58.38535386065458
20000,0.2000004403761224,62.34823077216225,58.78164155180535
21000,0.2100004405508748,64.25016625952583,59.328494022577395
22000,0.2200004407256273,63.644350534533885,59.76007967377304
23000,0.2300004409003797,64.56157926974701,60.24022963337043
24000,0.2400004410751322,60.912898712390145,60.30749654127241
25000,0.2500004412498846,61.06538196432253,60.38328508357742
26000,0.2600004414246371,60.01074878157609,60.346031453377286
27000,0.2700004415993895,66.79442146087554,60.99087045412711
28000,0.2800004417741419,60.978709358545856,60.98965434456899
29000,0.2900004419488944,56.50982271660991,60.54167118177308
30000,0.3000004421236468,58.747713300655704,60.36227539366135
31000,0.3100004422983993,58.987848346342744,60.22483268892949
32000,0.3200004424731517,68.09886580718181,61.01223600075472
33000,0.3300004426479042,62.6265650586217,61.173668906541415
34000,0.3400004428226566,60.560046492767334,61.112306665164006
35000,0.350000442997409,57.68851743614703,60.76992774226231
36000,0.3600004431721615,61.352311277790356,60.82816609581512
37000,0.3700004433469139,57.74479555775257,60.519829042008865
38000,0.3800004435216664,53.29537243112734,59.797383380920714
39000,0.3900004436964188,54.81618807304841,59.299263850133485
40000,0.4000004438711713,55.44327247149632,58.91366471226977
41000,0.4100004440459237,64.23721672374305,59.4460199134171
42000,0.4200004442206762,55.43064971672695,59.04448289374809
43000,0.4300004443954286,61.622447784230005,59.302279382796286
44000,0.440000444570181,53.43845374466219,58.71589681898288
45000,0.4500004447449335,48.554214528244984,57.699728589909085
46000,0.4600004449196859,51.393807287983414,57.06913645971652
47000,0.4700004450944384,50.60463791359842,56.4226866051047
48000,0.4800004452691908,49.61599459220496,55.74201740381473
49000,0.4900004454439433,57.4455232759841,55.912367991031665
50000,0.5000004456186957,58.54097628139203,56.1752288200677
51000,0.5100004457934482,53.0349233577306,55.86119827383399
52000,0.5200004459682006,58.2342278401669,56.09850123046728
53000,0.530000446142953,56.56490439819396,56.145141547239945
54000,0.5400004463177055,63.27577642846699,56.85820503536265
55000,0.5500004464924579,53.238148666347115,56.4961993984611
56000,0.5600004466672104,56.298215938640794,56.47640105247907
57000,0.5700004468419628,59.21486704392598,56.75024765162376
58000,0.5800004470167153,54.27441665985536,56.502664552446916
59000,0.5900004471914677,56.06314432584919,56.45871252978714
60000,0.6000004473662202,60.07971038471157,56.82081231527958
61000,0.6100004475409726,48.98885075798263,56.037616159549884
62000,0.620000447715725,51.10212988585327,55.54406753218022
63000,0.6300004478904775,51.669840598702706,55.15664483883248
64000,0.6400004480652299,57.017170663901325,55.34269742133936
65000,0.6500004482399824,50.994930017836666,54.907920680989086
66000,0.6600004484147348,52.026955044825165,54.619824117372694
67000,0.6700004485894873,50.03930968172291,54.16177267380772
